decisao,nota,data,titulo,categorias,palavras,sinais,slug,id,url
redirecionar,-1,2011-05-04,Nomeações,Notícias,952,ordena[çc][ãa]o profiss[ãa]o cn,nomeacoes,422,https://salvistas.com.br/nomeacoes/
redirecionar,-1,2011-06-30,Papa Bento XVI comemora 60 anos de sacerdócio,Notícias,711,ordena[çc][ãa]o testemunho cn (papa|bento xvi|card|dom |cnbb|bispo),papa-bento-xvi-comemora-60-anos-de-sacerdocio,502,https://salvistas.com.br/papa-bento-xvi-comemora-60-anos-de-sacerdocio/
redirecionar,-1,2011-08-03,Comunidade Lança site,Salvistas,59,,comunidade-lanca-site,815,https://salvistas.com.br/comunidade-lanca-site/
redirecionar,-1,2011-08-03,"Mês de agosto, mês vocacional",Notícias,493,testemunho cn,mes-de-agosto-mes-vocacional,814,https://salvistas.com.br/mes-de-agosto-mes-vocacional/
redirecionar,-1,2011-08-16,Jornada Mundial da Juventude,Notícias,226,testemunho cn,jornada-mundial-da-juventude,875,https://salvistas.com.br/jornada-mundial-da-juventude/
redirecionar,-1,2011-10-05,Dia Mundial das Missões,Mundo,532,votos testemunho cn,dia-mundial-das-missoes,1016,https://salvistas.com.br/dia-mundial-das-missoes/
redirecionar,-1,2011-11-14,Viver na expectativa da vinda do Senhor,Mundo,339,votos news\.va|rádio vaticano|radio vaticano,viver-na-expectativa-da-vinda-do-senhor,1083,https://salvistas.com.br/viver-na-expectativa-da-vinda-do-senhor/
redirecionar,-1,2011-11-15,Santo Padre o Papa Bento XVI,Mundo,339,votos news\.va|rádio vaticano|radio vaticano,santo-padre-o-papa-bento-xvi,1084,https://salvistas.com.br/santo-padre-o-papa-bento-xvi/
redirecionar,-1,2011-11-17,Jesus é vencedor na batalha entre o bem e o mal.,Mundo,1077,pentecostes audiência,jesus-e-vencedor-na-batalha-entre-o-bem-e-o-mal,1087,https://salvistas.com.br/jesus-e-vencedor-na-batalha-entre-o-bem-e-o-mal/
redirecionar,-1,2011-11-19,"Dia 20, o Dia do Cristão Leigo",Notícias,587,testemunho cn,dia-20-o-dia-do-cristao-leigo,1089,https://salvistas.com.br/dia-20-o-dia-do-cristao-leigo/
redirecionar,-1,2012-06-13,Dia do Catequista 2012,Salvistas,4,,dia-do-catequista-2012,1147,https://salvistas.com.br/dia-do-catequista-2012/
redirecionar,-1,2012-07-02,Congregação para a Doutrina da Fé,Salvistas,188,news\.va|rádio vaticano|radio vaticano,congregacao-para-a-doutrina-da-fe,1139,https://salvistas.com.br/congregacao-para-a-doutrina-da-fe/
redirecionar,-1,2012-07-28,JMJ Rio 2013,Notícias,423,testemunho padrinho|madrinha cn,jmj-rio-2013,1320,https://salvistas.com.br/jmj-rio-2013/
redirecionar,-1,2012-09-06,Gravação de clipe,Notícias,378,testemunho cn,gravacao-de-clipe,1653,https://salvistas.com.br/gravacao-de-clipe/
redirecionar,-1,2012-10-23,Família é um dos principais sujeitos da nova evangelização,Notícias,662,testemunho cn,familia-e-um-dos-principais-sujeitos-da-nova-evangelizacao,1762,https://salvistas.com.br/familia-e-um-dos-principais-sujeitos-da-nova-evangelizacao/
redirecionar,-1,2012-12-03,Celebraçao com o Papa,Notícias,504,testemunho cn,celebracao-com-o-papa,1844,https://salvistas.com.br/celebracao-com-o-papa/
redirecionar,-1,2012-12-10,Advento,Salvistas,496,fonte,advento,1848,https://salvistas.com.br/advento/
redirecionar,-1,2013-01-18,Comitê Organizador Local da JMJ,Notícias,375,testemunho cn,comite-organizador-local-da-jmj,1889,https://salvistas.com.br/comite-organizador-local-da-jmj/
redirecionar,-1,2013-03-04,Carta aos Párocos,Salvistas,3,,carta-aos-parocos,1948,https://salvistas.com.br/carta-aos-parocos/
redirecionar,-1,2013-03-18,Brasão do Santo Padre,Salvistas,6,,brasao-do-santo-padre,1960,https://salvistas.com.br/brasao-do-santo-padre/
redirecionar,-1,2013-07-24,Missa de abertura da JMJ Rio 2013,Notícias,293,testemunho cn,missa-de-abertura-da-jmj-rio-2013,2070,https://salvistas.com.br/missa-de-abertura-da-jmj-rio-2013/
redirecionar,-1,2013-09-12,Brasileiros em missão na Bolívia realizam encontro,Mundo,204,testemunho cn,brasileiros-em-missao-na-bolivia-realizam-encontro,2087,https://salvistas.com.br/brasileiros-em-missao-na-bolivia-realizam-encontro/
redirecionar,-1,2013-11-09,Bispos debatem convergência de mídias,Salvistas,712,testemunho cn (papa|bento xvi|card|dom |cnbb|bispo),bispos-debatem-convergencia-de-midias,2121,https://salvistas.com.br/bispos-debatem-convergencia-de-midias/
redirecionar,-1,2014-09-13,Em quem votar,Artigos,492,votos zenit|acidigital|gaudium,em-quem-votar,2331,https://salvistas.com.br/em-quem-votar/
redirecionar,-1,2015-01-30,Matriz Basílica de Aparecida,Notícias,512,ordena[çc][ãa]o fonte,matriz-basilica-de-aparecida,2486,https://salvistas.com.br/matriz-basilica-de-aparecida/
redirecionar,-1,2015-03-04,CATEQUESE,Salvistas,424,fonte,catequese,2514,https://salvistas.com.br/catequese/
redirecionar,-1,2015-10-14,AIS denuncia limpeza étnico-religiosa contra cristãos,Mundo,410,testemunho fonte,ais-denuncia-limpeza-etnico-religiosa-contra-cristaos,2582,https://salvistas.com.br/ais-denuncia-limpeza-etnico-religiosa-contra-cristaos/
redirecionar,-1,2016-01-21,COMBATE À INTOLERÂNCIA RELIGIOSA,Mundo,964,testemunho cn,combate-a-intolerancia-religiosa,2628,https://salvistas.com.br/combate-a-intolerancia-religiosa/
redirecionar,-2,2011-03-18,Juventude Missionária Italiana,Mundo,360,cn,juventude-missionaria-italiana,355,https://salvistas.com.br/juventude-missionaria-italiana/
redirecionar,-2,2011-03-29,Santa Sé,Mundo,152,cn,santa-se,354,https://salvistas.com.br/santa-se/
redirecionar,-2,2011-04-01,A morte José Alencar,Notícias,285,cn,a-morte-jose-alencar,383,https://salvistas.com.br/a-morte-jose-alencar/
redirecionar,-2,2011-04-08,Atentado a escola,Notícias,244,cn,atentado-a-escola,378,https://salvistas.com.br/atentado-a-escola/
redirecionar,-2,2011-04-19,Jornada de Espiritualidade,Notícias,311,cn,jornada-de-espiritualidade,400,https://salvistas.com.br/jornada-de-espiritualidade/
redirecionar,-2,2011-05-26,7º Mutirão Brasileiro de Comunicação,Notícias,235,cn,7%c2%ba-mutirao-brasileiro-de-comunicacao,445,https://salvistas.com.br/7%c2%ba-mutirao-brasileiro-de-comunicacao/
redirecionar,-2,2011-06-09,Beato Anchieta,Notícias,173,cn,beato-anchieta,472,https://salvistas.com.br/beato-anchieta/
redirecionar,-2,2011-06-15,2º Congresso Latino-americano,Notícias,927,testemunho fonte cn,2%c2%ba-congresso-latino-americano,478,https://salvistas.com.br/2%c2%ba-congresso-latino-americano/
redirecionar,-2,2011-07-05,Episcopado Venezuelano,Mundo,229,cn,episcopado-venezuelano,526,https://salvistas.com.br/episcopado-venezuelano/
redirecionar,-2,2011-07-09,Presidente do PCCS,Notícias,365,cn,presidente-do-pccs,656,https://salvistas.com.br/presidente-do-pccs/
redirecionar,-2,2011-07-20,Campanha Contra a Violência,Notícias,145,cn,campanha-contra-a-violencia,670,https://salvistas.com.br/campanha-contra-a-violencia/
redirecionar,-2,2011-08-09,Beatificação,Notícias,202,cn,beatificacao,822,https://salvistas.com.br/beatificacao/
redirecionar,-2,2011-08-13,Comissão Nacional dos Diáconos,Notícias,300,cn,comissao-nacional-dos-diaconos,828,https://salvistas.com.br/comissao-nacional-dos-diaconos/
redirecionar,-2,2011-08-15,JMJ: De mochilas nas costas,Mundo,420,cn,jmj-de-mochilas-nas-costas,870,https://salvistas.com.br/jmj-de-mochilas-nas-costas/
redirecionar,-2,2011-08-30,Dia Nacional da Juventude,Notícias,154,cn,dia-nacional-da-juventude,895,https://salvistas.com.br/dia-nacional-da-juventude/
redirecionar,-2,2011-09-01,Nova sede da Cáritas Brasileira,Notícias,355,cn,nova-sede-da-caritas-brasileira,902,https://salvistas.com.br/nova-sede-da-caritas-brasileira/
redirecionar,-2,2011-09-10,Palavra de Deus,Notícias,811,cn,palavra-de-deus,950,https://salvistas.com.br/palavra-de-deus/
redirecionar,-2,2011-09-13,Pastorais Sociais,Notícias,394,cn,pastorais-sociais,953,https://salvistas.com.br/pastorais-sociais/
redirecionar,-2,2011-09-15,Congresso Internacional,Mundo,377,cn,congresso-internacional,957,https://salvistas.com.br/congresso-internacional/
redirecionar,-2,2011-09-20,2º Congresso Teológico Internacional,Notícias,193,cn,2%c2%ba-congresso-teologico-internacional,991,https://salvistas.com.br/2%c2%ba-congresso-teologico-internacional/
redirecionar,-2,2011-09-25,Bento XVI na viagem à Alemanha,Mundo,935,testemunho (papa|bento xvi|card|dom |cnbb|bispo),bento-xvi-na-viagem-a-alemanha,1004,https://salvistas.com.br/bento-xvi-na-viagem-a-alemanha/
redirecionar,-2,2011-09-28,Novo arcebispo para Florianópolis,Notícias,120,cn,novo-arcebispo-para-florianopolis,1008,https://salvistas.com.br/novo-arcebispo-para-florianopolis/
redirecionar,-2,2011-10-02,Intenções do santo Padre,Salvistas,113,intenç[õo]es do (santo padre|papa),intencoes-do-santo-padre,1012,https://salvistas.com.br/intencoes-do-santo-padre/
redirecionar,-2,2011-10-12,Pastoral do Menor,Mundo,665,cn,pastoral-do-menor,1038,https://salvistas.com.br/pastoral-do-menor/
